hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,,,,,,,,,,,,,,
Abrothrix_longipilis,RODENTIA,CRICETIDAE,Abrothrix,longipilis,Terrestrial,wild,53,10,0,0,743,"(Waterhouse, 1837)",Akodon longipilis,"Long-haired Akodont, Long-haired Grass Mouse",NA,NA,LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Abrothrix_olivaceus,RODENTIA,CRICETIDAE,Abrothrix,olivaceus,Terrestrial,wild,59,11,0,0,751,"(Waterhouse, 1837)",Akodon mansoensis  |Akodon olivaceus  |Akodon xanthorhinus,Olive Grass Mouse,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Abrothrix_sanborni,RODENTIA,CRICETIDAE,Abrothrix,sanborni,Terrestrial,wild,9,1,1,0,754,"(Osgood, 1943)",Akodon sanborni,Sanborn's Grass Mouse,NA,NA,NT,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Acinonyx_jubatus,CARNIVORA,FELIDAE,Acinonyx,jubatus,Terrestrial,wild,830,183,1,0,219,"(Schreber, 1775)",NA,"Cheetah, Hunting Leopard",Gu_pard,"Chita, Guepardo",VU,A2acd; C1,3.1,2008,decreasing,,,,,,,,,,,,,,
Aepyceros_melampus,CETARTIODACTYLA,BOVIDAE,Aepyceros,melampus,Terrestrial,wild,543,116,0,0,550,"(Lichtenstein, 1812)",NA,"Black-faced Impala, Impala",NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Aethomys_kaiseri,RODENTIA,MURIDAE,Aethomys,kaiseri,Terrestrial,wild,11,3,0,0,572,"(Noack, 1887)",NA,Kaiser's Rock Rat,NA,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Aethomys_namaquensis,RODENTIA,MURIDAE,Aethomys,namaquensis,Terrestrial,wild,68,11,0,1,573,"(A. Smith, 1834)",Micaelamys namaquensis,Namaqua Rock Rat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Akodon_azarae,RODENTIA,CRICETIDAE,Akodon,azarae,Terrestrial,wild,159,37,0,0,726,"(Fischer, 1829)",NA,Azara's Grass Mouse,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Akodon_montensis,RODENTIA,CRICETIDAE,Akodon,montensis,Terrestrial,wild,50,12,0,0,136197,"Thomas, 1913",NA,Montane Akodont,NA,NA,LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Akodon_paranaensis,RODENTIA,CRICETIDAE,Akodon,paranaensis,Terrestrial,wild,17,3,0,0,136483,"Christoff, Fagundes, Sbalqueiro, Mattevi & Yonenaga-Yassuda, 2000",NA,Paran_ Akodont,NA,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Akodon_simulator,RODENTIA,CRICETIDAE,Akodon,simulator,Terrestrial,wild,20,4,0,0,758,"Thomas, 1916",NA,"Gray-bellied Grass Mouse, Gray-ellied Grass Mouse",NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Akodon_varius,RODENTIA,CRICETIDAE,Akodon,varius,Terrestrial,wild,14,1,0,0,766,"Thomas, 1902",NA,Variable Grass Mouse,NA,NA,DD,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Alcelaphus_buselaphus,CETARTIODACTYLA,BOVIDAE,Alcelaphus,buselaphus,Terrestrial,wild,198,35,1,0,811,"(Pallas, 1766)",NA,"Hartebeest, Swayne's Hartebeest",NA,NA,LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Alces_alces,CETARTIODACTYLA,CERVIDAE,Alces,alces,Terrestrial,domestic,3153,453,1,1,41782,"(Linnaeus, 1758)",NA,"Elk, Eurasian Elk, Eurasian Moose, European Elk, Moose, Siberian Elk",_lan,Alce,LC,NA,3.1,2008,increasing,,,,,,,,,,,,,,
Allenopithecus_nigroviridis,PRIMATES,CERCOPITHECIDAE,Allenopithecus,nigroviridis,Terrestrial,wild,27,7,1,0,865,"(Pocock, 1907)",NA,Allen's Swamp Monkey,Cercopithèque De Allen,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Alopex_lagopus,CARNIVORA,CANIDAE,Alopex,lagopus,Terrestrial,wild,1157,215,1,0,899,"(Linnaeus, 1758)",Alopex lagopus  |Alopex lagopus  |Vulpes lagopus  |Vulpes lagopus,"Arctic Fox, Polar Fox","Isatis, Renard Polaire, Reynard Polaire",Zorro çrtico,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Alouatta_caraya,PRIMATES,ATELIDAE,Alouatta,caraya,Terrestrial,wild,220,38,1,0,41545,"(Humboldt, 1812)",NA,"Black-and-gold Howler Monkey, Black Howler Monkey, Black Howling Monkey",NA,"Aullador Negro, Manechi, Manechi Negro",LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Alouatta_palliata,PRIMATES,ATELIDAE,Alouatta,palliata,Terrestrial,wild,398,30,1,0,39960,"(Gray, 1849)",NA,"Ecuadorian Mantled Howling Monkey, Mantled Howler Monkey, South Pacific Blackish Howling Monkey",NA,"Aullador De La Costa, Mono Aullador, Mono Congo",LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Alouatta_pigra,PRIMATES,ATELIDAE,Alouatta,pigra,Terrestrial,wild,138,8,1,0,914,"Lawrence, 1933",NA,"Black Howling Monkey, Guatemalan Black Howler Monkey, Guatemalan Howler, Guatemalan Howling Monkey, Lawrences Howler Monkey, Mexican Black Howler Monkey, Yucat_n Black Howler Monkey",Hurleur Du Guatemala,"Araguato De Guatemala, Mono Aullador Negro, Saraguato, Saraguato Negro",EN,A4cd,3.1,2008,decreasing,,,,,,,,,,,,,,
Alouatta_seniculus,PRIMATES,ATELIDAE,Alouatta,seniculus,Terrestrial,wild,258,17,1,0,43929,"(Linnaeus, 1766)",NA,"Colombian Red Howler Monkey, Colombian Red Howling Monkey",NA,"Coto Mono, Mono, Mono Araguato, Mono Colorado, Mono Cotudo, Roncador",LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Ammospermophilus_nelsoni,RODENTIA,SCIURIDAE,Ammospermophilus,nelsoni,Terrestrial,wild,19,4,1,0,1149,"(Merriam, 1893)",NA,"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",NA,NA,EN,B1ab(iii),3.1,2008,decreasing,,,,,,,,,,,,,,
Ammotragus_lervia,CETARTIODACTYLA,BOVIDAE,Ammotragus,lervia,Terrestrial,wild,192,31,1,0,1151,"(Pallas, 1777)",NA,"Aoudad, Barbary Sheep, Uaddan",Mouflon è Manchettes,NA,VU,C1,3.1,2008,decreasing,,,,,,,,,,,,,,
